dataset,context_condition,run,MeanPolysemyRatio,MedianPolysemyRatio,GiniPolysemy,ACI,n_messages,Dataset,Context
"(4,8)",coarse,4,0.0023362461846489877,0.00038109756097560977,0.7971121361103916,0.7310609607641165,871,"D(4,8)",coarse
"(4,8)",mixed,0,0.0004672918307330009,0.00038109756097560977,0.37494099503842326,0.27941737692405544,6411,"D(4,8)",mixed
"(4,8)",mixed,1,0.0005880035077576914,0.00038109756097560977,0.43167010528718697,0.32141374299356446,6244,"D(4,8)",mixed
"(4,8)",mixed,2,0.000516388872980306,0.00038109756097560977,0.3898742049461389,0.28484782844146,6814,"D(4,8)",mixed
"(4,8)",mixed,3,0.0005559492530343937,0.00038109756097560977,0.4591052494647184,0.3583641404805915,7417,"D(4,8)",mixed
"(4,8)",mixed,4,0.0004864203369212828,0.00038109756097560977,0.4400909347701704,0.354185337874171,8742,"D(4,8)",mixed
"(4,8)",fine,0,0.00037564166368996254,0.00019054878048780488,0.33804854855843325,0.2751252086811352,6077,"D(4,8)",fine
"(4,8)",fine,1,0.0005325806814504713,0.00038109756097560977,0.4534222897820429,0.35185047838018246,4824,"D(4,8)",fine
"(4,8)",fine,2,0.00042552726415668153,0.00038109756097560977,0.39073925460941417,0.3201191140889633,4812,"D(4,8)",fine
"(4,8)",fine,3,0.0004720666462986335,0.00038109756097560977,0.3911264093413828,0.29524619601171914,4271,"D(4,8)",fine
"(4,8)",fine,4,0.00030591717813531624,0.00019054878048780488,0.27834516622748584,0.2541436464088398,6088,"D(4,8)",fine
"(5,4)",coarse,0,0.0017103359633849134,0.0008003201280512205,0.6289175948328138,0.5506289956692102,2269,"D(5,4)",coarse
"(5,4)",coarse,1,0.0021062772935261063,0.00040016006402561027,0.6877106080212312,0.6152555498193082,1472,"D(5,4)",coarse
"(5,4)",coarse,2,0.002124654025932264,0.0008003201280512205,0.6674468168893686,0.5874933757286699,1777,"D(5,4)",coarse
"(5,4)",coarse,3,0.0019487381234475282,0.0008003201280512205,0.665488363215518,0.5906550413592667,1837,"D(5,4)",coarse
"(5,4)",coarse,4,0.002084042318490959,0.00040016006402561027,0.6829645873660923,0.6057955880433363,1471,"D(5,4)",coarse
"(5,4)",mixed,0,0.000544442542886041,0.00040016006402561027,0.21301409268463964,0.22447418738049713,5766,"D(5,4)",mixed
"(5,4)",mixed,1,0.0005004430922166439,0.00040016006402561027,0.16792936375249826,0.20265458077047588,4940,"D(5,4)",mixed
"(5,4)",mixed,2,0.0007846901541802816,0.00040016006402561027,0.35914594919789766,0.3029512983627073,4890,"D(5,4)",mixed
"(5,4)",mixed,3,0.000675541059570319,0.00040016006402561027,0.30485508257738264,0.2654389880952381,6369,"D(5,4)",mixed
"(5,4)",mixed,4,0.0005486241898764977,0.00040016006402561027,0.21759913607908085,0.2283434650455927,7679,"D(5,4)",mixed
"(5,4)",fine,0,0.0006273310675206529,0.00040016006402561027,0.2680331406418843,0.24598511555033295,3257,"D(5,4)",fine
"(5,4)",fine,1,0.00048047807568530693,0.00040016006402561027,0.1437132412898565,0.19560185185185186,5037,"D(5,4)",fine
"(5,4)",fine,2,0.0004933309153873785,0.00040016006402561027,0.15780227215598977,0.1941772151898734,3204,"D(5,4)",fine
"(5,4)",fine,3,0.0004964293514384936,0.00040016006402561027,0.17127813883871207,0.22474498190194142,7349,"D(5,4)",fine
"(5,4)",fine,4,0.0004495111566171789,0.00040016006402561027,0.0994746536700734,0.1927437641723356,4711,"D(5,4)",fine
