message,count,symbols,fixed_attribute_values
"(17, 17, 19, 0)",1,"{(17, 19)}","{(0, 3, 1)}"
"(17, 17, 27, 0)",2,"{(17, 27)}","{(6, '?', 1)}"
"(17, 20, 18, 0)",1,"{(17, 18, 20)}","{(6, 6, 1)}"
"(17, 20, 27, 0)",2,"{(17, 27, 20)}","{(6, '?', 1)}"
"(17, 4, 10, 0)",2,"{(17, 10, 4)}","{(0, '?', 1)}"
"(17, 4, 16, 0)",2,"{(16, 17, 4)}","{(0, '?', 1)}"
"(17, 4, 19, 0)",5,"{(17, 19, 4)}","{(0, '?', 1)}"
"(17, 4, 21, 0)",1,"{(17, 4, 21)}","{(0, 6, 1)}"
"(17, 4, 4, 0)",2,"{(17, 4)}","{(0, '?', 1)}"
"(18, 10, 2, 0)",1,"{(2, 18, 10)}","{(4, 2, 0)}"
"(18, 16, 16, 0)",4,"{(16, 18)}","{('?', '?', 0)}"
"(18, 16, 25, 0)",3,"{(16, 25, 18)}","{('?', '?', 0)}"
"(18, 18, 16, 0)",3,"{(16, 18)}","{('?', '?', 0)}"
"(18, 18, 18, 0)",4,"{(18,)}","{('?', '?', '?')}"
"(18, 18, 19, 0)",2,"{(18, 19)}","{('?', '?', 0)}"
"(18, 18, 21, 0)",3,"{(18, 21)}","{('?', '?', '?')}"
"(18, 18, 5, 0)",2,"{(18, 5)}","{(2, '?', 0)}"
"(18, 2, 16, 0)",1,"{(16, 18, 2)}","{('?', 5, 0)}"
"(18, 2, 18, 0)",1,"{(18, 2)}","{(4, 2, 5)}"
"(18, 2, 2, 0)",1,"{(18, 2)}","{(4, 2, 0)}"
"(18, 20, 18, 0)",1,"{(18, 20)}","{('?', 7, 5)}"
"(18, 21, 18, 0)",1,"{(18, 21)}","{('?', 7, 5)}"
"(18, 21, 25, 0)",1,"{(25, 18, 21)}","{('?', 3, 0)}"
"(18, 24, 16, 0)",2,"{(24, 16, 18)}","{('?', '?', 0)}"
"(18, 24, 2, 0)",1,"{(24, 18, 2)}","{(4, 2, 0)}"
"(18, 5, 16, 0)",5,"{(16, 18, 5)}","{('?', '?', '?')}"
"(18, 5, 18, 0)",9,"{(18, 5)}","{('?', '?', '?')}"
"(18, 5, 2, 0)",3,"{(18, 2, 5)}","{(2, '?', '?')}"
"(18, 5, 21, 0)",1,"{(18, 21, 5)}","{(2, 7, 5)}"
"(18, 5, 24, 0)",4,"{(24, 18, 5)}","{(2, '?', '?')}"
"(18, 5, 25, 0)",3,"{(25, 18, 5)}","{(2, '?', '?')}"
"(18, 5, 5, 0)",2,"{(18, 5)}","{(2, '?', '?')}"
"(18, 7, 2, 0)",1,"{(18, 2, 7)}","{(4, 2, 0)}"
"(18, 7, 22, 0)",1,"{(18, 22, 7)}","{(4, 0, 5)}"
"(18, 7, 7, 0)",2,"{(18, 7)}","{(4, 2, '?')}"
"(18, 8, 2, 0)",2,"{(8, 18, 2)}","{(4, '?', '?')}"
"(19, 16, 16, 0)",1,"{(16, 19)}","{(0, 4, 3)}"
"(19, 16, 19, 0)",2,"{(16, 19)}","{('?', 4, 3)}"
