message,count,symbols,fixed_attribute_values
"(13, 47, 2, 0)",1,"{(2, 13, 47)}","{(12, 13, '?')}"
"(13, 47, 32, 0)",2,"{(32, 13, 47)}","{('?', '?', '?')}"
"(13, 47, 47, 0)",15,"{(13, 47)}","{('?', '?', '?')}"
"(13, 51, 1, 0)",1,"{(1, 51, 13)}","{(0, 7, 11)}"
"(13, 51, 16, 0)",1,"{(16, 51, 13)}","{(7, 7, '?')}"
"(13, 51, 41, 0)",2,"{(41, 51, 13)}","{(7, '?', '?')}"
"(13, 7, 1, 0)",5,"{(1, 13, 7)}","{('?', '?', '?')}"
"(13, 7, 24, 0)",1,"{(24, 13, 7)}","{(0, 5, '?')}"
"(13, 7, 31, 0)",3,"{(31, 13, 7)}","{('?', 7, '?')}"
"(13, 7, 32, 0)",2,"{(32, 13, 7)}","{(0, 9, '?')}"
"(13, 7, 4, 0)",1,"{(4, 13, 7)}","{(7, 5, '?')}"
"(13, 7, 49, 0)",1,"{(49, 13, 7)}","{(12, 7, 14)}"
"(13, 7, 5, 0)",4,"{(5, 13, 7)}","{('?', 5, '?')}"
"(13, 7, 7, 0)",3,"{(13, 7)}","{('?', 7, '?')}"
"(14, 45, 41, 0)",1,"{(41, 45, 14)}","{(14, 6, '?')}"
"(16, 1, 1, 0)",2,"{(16, 1)}","{('?', '?', '?')}"
"(16, 12, 6, 0)",2,"{(16, 12, 6)}","{('?', '?', 8)}"
"(16, 14, 6, 0)",1,"{(16, 14, 6)}","{(14, '?', 8)}"
"(16, 15, 1, 0)",2,"{(16, 1, 15)}","{(1, '?', '?')}"
"(16, 15, 15, 0)",3,"{(16, 15)}","{('?', '?', '?')}"
"(16, 16, 12, 0)",3,"{(16, 12)}","{('?', '?', '?')}"
"(16, 16, 14, 0)",1,"{(16, 14)}","{(4, '?', 8)}"
"(16, 16, 16, 0)",2,"{(16,)}","{('?', '?', 11)}"
"(16, 16, 30, 0)",1,"{(16, 30)}","{('?', '?', 8)}"
"(16, 16, 37, 0)",4,"{(16, 37)}","{('?', '?', '?')}"
"(16, 16, 38, 0)",2,"{(16, 38)}","{('?', '?', 11)}"
"(16, 16, 41, 0)",1,"{(16, 41)}","{('?', '?', 11)}"
"(16, 16, 42, 0)",5,"{(16, 42)}","{('?', '?', 11)}"
"(16, 16, 43, 0)",4,"{(16, 43)}","{('?', '?', 11)}"
"(16, 16, 45, 0)",1,"{(16, 45)}","{('?', '?', 4)}"
"(16, 16, 46, 0)",1,"{(16, 46)}","{(14, '?', 8)}"
"(16, 16, 51, 0)",2,"{(16, 51)}","{('?', '?', 11)}"
"(16, 19, 1, 0)",3,"{(16, 1, 19)}","{('?', '?', '?')}"
"(16, 19, 19, 0)",1,"{(16, 19)}","{(8, '?', 8)}"
"(16, 19, 36, 0)",1,"{(16, 19, 36)}","{(8, '?', 8)}"
"(16, 19, 7, 0)",2,"{(16, 19, 7)}","{('?', '?', 8)}"
"(16, 2, 1, 0)",1,"{(16, 1, 2)}","{(1, 12, 11)}"
"(16, 2, 15, 0)",1,"{(16, 2, 15)}","{(1, '?', 4)}"
"(16, 2, 19, 0)",1,"{(16, 2, 19)}","{(1, 1, 11)}"
"(16, 30, 16, 0)",1,"{(16, 30)}","{('?', 12, 8)}"
"(16, 30, 38, 0)",1,"{(16, 38, 30)}","{(4, 12, 8)}"
"(16, 30, 41, 0)",1,"{(16, 41, 30)}","{('?', 12, 8)}"
"(16, 30, 48, 0)",1,"{(16, 48, 30)}","{(15, '?', 8)}"
"(16, 37, 37, 0)",8,"{(16, 37)}","{('?', '?', '?')}"
