message,concepts
"(3, 35, 48, 0)","[(3, '?', 4), (3, '?', 4), (3, '?', 4), (3, '?', 12), (3, 12, 12), (3, '?', 4), (3, '?', 4), (3, '?', 4), (3, '?', 12), (3, '?', 12), (3, '?', 4), (3, '?', 12), (3, '?', '?'), (3, '?', 4)]"
"(3, 36, 31, 0)","[(6, 11, 12), (6, 11, 12), (13, 11, 12), (13, 11, 4), (13, 11, 4)]"
"(3, 36, 34, 0)","[(14, 8, 12)]"
"(3, 36, 36, 0)","[(14, 13, 12), (14, 3, 12), (7, 2, 4), (7, 13, 12), (14, 13, 12), (14, 10, 12), (7, 3, 12), (14, 3, 4), (7, 3, 4), (14, 13, 4), (7, 3, 12), (7, 3, 12), (7, 2, 12), (14, '?', 4), (7, 10, 12), (14, 10, 4), (14, 2, 4), (7, 10, 12), (14, 3, 4), (14, 10, 12), (7, 3, 12), (14, 13, 4), (14, 3, 4), (7, 2, 12), (14, 13, 12), (7, 3, 12), (7, 13, 4), (7, 13, 4), (7, 3, 4), (7, 3, 12), (14, 3, 4), (7, 13, 12), (7, 13, 4), (7, 13, 4), (14, 3, 12), (14, 13, 4), (14, 3, 12), (14, 10, 4), (14, 3, 4), (7, 13, 12), (14, 3, 12), (14, 3, 4), (7, 10, 4), (14, 2, 4), (7, 3, 12), (7, 2, 12), (14, 3, 12), (7, 10, 4), (7, 3, 4), (14, 3, 4), (7, 3, 4), (7, 10, 4), (7, 2, 4), (7, 3, 4), (14, 11, 12), (7, 10, 12), (14, 3, 4), (14, 3, 4), (7, 10, 12), (7, 3, 4), (7, 13, 12), (7, 13, 4), (14, 3, 12), (14, 13, 12), (7, 10, 4)]"
"(3, 40, 36, 0)","[(14, 9, 12), (14, 9, 12), (14, 9, 12), (14, 9, 12)]"
"(3, 43, 34, 0)","[(14, 8, 12), (7, 4, 4), (7, 4, 12), (7, 4, 12), (14, 15, 12), (14, 15, 4), (14, 8, 4), (7, 4, 4), (14, 4, 12), (14, 15, 4), (14, 15, 4), (7, 15, 4), (14, 15, 12), (14, 4, 4), (14, 15, 12), (14, 4, 4), (14, 4, 4), (14, 15, 4), (7, 4, 12), (14, 15, 4), (7, 4, 12), (7, 15, 4), (14, 4, 12), (7, 4, 12), (14, 15, 12), (14, 15, 12), (14, 4, 4), (14, 15, 12), (14, 8, 4), (14, 4, 4), (14, 15, 4), (7, 4, 4), (7, 4, 4), (7, 4, 12), (14, 4, 12), (7, 4, 12), (14, 4, 12), (7, 15, 4), (14, 15, 4), (14, 4, 4), (14, 15, 4), (7, 15, 4)]"
"(3, 43, 36, 0)","[(7, 10, 12), (14, 3, 12)]"
"(3, 43, 40, 0)","[(14, 15, '?'), (14, 4, '?'), (14, 15, 14), (14, 8, '?'), (7, 15, '?'), (14, 15, '?'), (7, 8, 3), (14, 15, '?'), (7, 15, '?'), (14, 15, '?'), (7, 8, '?'), (7, 8, '?'), (14, 15, 3), (14, 4, '?'), (14, 15, '?'), (14, 4, '?'), (7, 15, '?'), (14, 4, '?'), (7, 8, '?'), (7, 15, '?'), (14, 8, '?'), (7, 4, '?'), (14, 4, 12), (14, 15, 3), (14, 8, '?'), (14, 15, 5), (7, 4, '?'), (7, 15, '?'), (14, 8, '?'), (14, 15, '?'), (14, 4, '?'), (14, 4, '?'), (14, 4, '?'), (7, 8, '?'), (7, 4, '?'), (14, 15, 14), (7, 4, '?'), (14, 4, '?'), (14, 15, '?'), (7, 15, 4), (14, 8, '?'), (7, 15, '?'), (14, 8, '?'), (7, 4, '?')]"
"(3, 43, 43, 0)","[(14, 13, '?'), (7, 13, '?'), (14, 3, '?'), (14, 13, '?'), (14, 10, 14), (7, 10, '?'), (14, 10, 14), (7, 13, '?'), (7, 10, '?'), (7, 13, '?'), (14, 10, '?'), (14, 13, '?'), (14, 10, '?'), (14, 3, '?'), (14, 3, '?'), (14, 13, '?'), (7, 13, '?'), (14, 3, '?'), (14, 10, '?'), (14, 10, '?'), (7, 13, '?'), (14, 13, '?'), (14, 2, '?'), (14, 10, '?'), (14, 3, '?'), (14, 3, '?'), (7, 13, '?'), (14, 3, '?'), (7, 10, '?'), (7, 13, '?'), (14, 3, '?'), (7, 10, '?'), (14, 3, '?')]"
"(3, 46, 26, 0)","[(6, 9, 12), (6, 9, 4), (6, 9, 4), (13, 9, 12), (6, 9, 12), (13, 9, 12)]"
