message,concepts
"(9, 15, 2, 0)","[(0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1), (0, 1, 1)]"
"(9, 15, 9, 0)","[('?', 3, 1)]"
"(9, 15, 13, 0)","[('?', 3, 1), ('?', 3, 1), ('?', 3, 1), ('?', 3, 1), ('?', 3, 1), ('?', 3, 1), ('?', 3, 1)]"
"(10, 1, 15, 0)","[(1, 3, 0), (1, 3, 0), (1, 3, 0), (1, 3, 0), (1, 3, 0), (1, 3, 0), (1, 3, 0)]"
"(10, 15, 1, 0)","[(3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0), (3, 3, 0)]"
"(10, 15, 10, 0)","[('?', 3, 0), ('?', 3, 0), ('?', 3, 0), ('?', 3, 0), ('?', 3, 0)]"
"(11, 5, 1, 0)","[(3, '?', '?'), (3, '?', '?')]"
"(11, 5, 5, 0)","[(3, '?', '?'), (3, '?', '?')]"
"(11, 5, 11, 0)","[(3, '?', '?')]"
"(11, 11, 11, 0)","[('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2), ('?', '?', 2)]"
"(11, 11, 12, 0)","[(3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2), (3, '?', 2)]"
"(11, 12, 12, 0)","[(3, '?', 2), (3, '?', 2), (3, '?', 2)]"
"(12, 12, 12, 0)","[(3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3), (3, 0, 3)]"
"(13, 1, 15, 0)","[(1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?'), (1, 3, '?')]"
"(13, 15, 1, 0)","[(3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?'), (3, 3, '?')]"
"(13, 15, 13, 0)","[('?', 3, '?'), ('?', 3, '?'), ('?', 3, '?'), ('?', 3, '?')]"
"(13, 15, 15, 0)","[('?', 3, '?'), ('?', 3, '?'), ('?', 3, '?')]"
"(14, 2, 14, 0)","[(0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2), (0, 0, 2)]"
"(14, 7, 14, 0)","[(0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 2, 2)]"
"(14, 12, 12, 0)","[(3, 2, 2), (3, 2, 2)]"
"(14, 14, 12, 0)","[(3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2), (3, 2, 2)]"
"(14, 14, 14, 0)","[('?', 2, 2), ('?', 2, 2), ('?', 2, 2), ('?', 2, 2), ('?', 2, 2), ('?', 2, 2), ('?', 2, 2)]"
"(15, 1, 10, 0)","[(1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3), (1, 3, 3)]"
"(15, 1, 15, 0)","[(1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2), (1, 3, 2)]"
"(15, 2, 2, 0)","[('?', 3, 2)]"
"(15, 5, 2, 0)","[('?', 1, 3), ('?', 1, 3)]"
"(15, 5, 5, 0)","[('?', 1, 3), ('?', 1, 3), ('?', 1, 3), ('?', 1, 3), (3, 1, 3), (3, 1, 3), ('?', 1, 3), (3, 1, 3), (3, 1, 3), ('?', 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3), (3, 1, 3), ('?', 1, 3), (3, 1, 3)]"
"(15, 5, 11, 0)","[('?', 1, 2)]"
"(15, 7, 10, 0)","[('?', 3, 3), ('?', 3, 3), ('?', 3, 3), ('?', 3, 3)]"
"(15, 10, 10, 0)","[('?', 3, 3), ('?', 3, 3)]"
"(15, 11, 5, 0)","[('?', 1, 2), ('?', 1, 2)]"
"(15, 11, 11, 0)","[('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2), ('?', 1, 2)]"
"(15, 12, 12, 0)","[(3, '?', 3), (3, '?', 3), (3, '?', 3), (3, '?', 3)]"
"(15, 13, 15, 0)","[('?', 3, '?')]"
"(15, 15, 2, 0)","[('?', 3, 2)]"
"(15, 15, 7, 0)","[('?', 3, 3)]"
"(15, 15, 12, 0)","[(3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2), (3, 3, 2)]"
"(15, 15, 15, 0)","[('?', 3, 2), ('?', 3, 2), ('?', 3, 2)]"
